Property ID,Usage,Admininstrated by,Name,Ward Number,Address,Unique ID
1000510100268,COMMERCIAL,PRIVATE,PADAIAPPA FINANCE,51,GANDHIPURAM 5TH STREET,1000511600106
1000510100366,COMMERCIAL,PRIVATE,AVM MANSION,51,GANDHIPURAM 7TH STREET,1000511600101
1000510100570,COMMERCIAL,PRIVATE,HOTEL ESS PARADISE,51,NEHRU STREET,1000511600094
1000510100157,COMMERCIAL,PRIVATE,ASWINI LODGE,51,KALINGARAYAN STREET,1000511600093
1000510100159,COMMERCIAL,PRIVATE,VIJAY LODGE,51,KALINGARAYAN STREET,1000511600011
1000510100131,COMMERCIAL,PRIVATE,R K LODGE,51,LAJAPATHI RAI STREET,1000511600002
1000510100309,COMMERCIAL,PRIVATE,MANO FINANCE LTD,51,GOKULE STREET,1000511600115
1000510100588,COMMERCIAL,PRIVATE,M K LODGE,51,GOKULE STREET,1000511600114
1000510100310,COMMERCIAL,PRIVATE,SRI LAKSHMI,51,KALINGARAYAN STREET,1000511600113
1000510100310,COMMERCIAL,PRIVATE,SHREE ANANDHAS,51,KALINGARAYAN STREET,1000511600112
1000510100261,COMMERCIAL,PRIVATE,PRAKASH LODGE,51,NEHRU STREET,1000511600111
1000510100709,SHOPPING COMPLEX,CORPORATION,CORPORATION SHOPPING COMPLEX,51,PATEL ROAD,1000511600110
1000510101613,COMMERCIAL,PRIVATE,SHREE ANANDHAS,51,DR NANJAPPA ROAD,1000511600109
1000510100529,COMMERCIAL,PRIVATE,PUNJAB NATIONAL BANK,51,PONNAY STREET,1000511600108
1000510100220,COMMERCIAL,PRIVATE,LALA LODGE,51,GANDHIPURAM 5TH STREET,1000511600107
1000510100939,INDUSTRIAL,PRIVATE,BALASUBRAMANIYA FOUNDRY,51,PATEL ROAD,1000511600105
1000510100940,INDUSTRIAL,PRIVATE,PIONEER FOUNDRY,51,PATEL ROAD,1000511600104
1000510100679,INDUSTRIAL,STATE,POWER HOUSE,51,PONNAY STREET,1000511600103
1000510100903,INDUSTRIAL,STATE,POWER HOUSE,51,POWER HOUSE ROAD,1000511600102
1000510101652,INDUSTRIAL,PRIVATE,ARCHANA INDUSTRIES,51,RADHAKRISHNAN ROAD,1000511600100
1000510101650,INDUSTRIAL,PRIVATE,DEVARAJ  INDUSTRIES,51,RADHAKRISHNAN ROAD,1000511600099
1000510101435,COMMERCIAL,PRIVATE,JOS ALUKAS,51,DR RAJENDRAPRASAD ROAD,1000511600098
1000510101277,COMMERCIAL,PRIVATE,PROFESSIONAL COURIERS,51,TATABAD 9TH STREET,1000511600097
1000510100345,COMMERCIAL,CORPORATION,COIMBATORE DIST.GOVT.CORP.H.P SANGAM,51,GANDHIPURAM 8TH STREET,1000511600096
1000510100443,COMMERCIAL,PRIVATE,KEERTHI JEWELLARY,51,GANDHIPURAM 8TH STREET,1000511600095
1000510100618,COMMERCIAL,PRIVATE,ASWINI LODGE,51,NEHRU STREET,1000511600092
1000510100258,COMMERCIAL,PRIVATE,SENTHIL KUMARAN,51,GOKULE STREET,1000511600091
1000510100578,COMMERCIAL,PRIVATE,GANAPATHY SILK,51,LAJAPATHI RAI STREET,1000511600090
1000510100189,COMMERCIAL,PRIVATE,HINDHUSTHAN PETROLIEUM LTD,51,DR NANJAPPA ROAD,1000511600089
1000510100193,COMMERCIAL,PRIVATE,KRISHNA TOWERS,51,NEHRU STREET,1000511600088
1000510100192,COMMERCIAL,PRIVATE,HOTEL TOP FORM,51,NEHRU STREET,1000511600087
1000510100604,COMMERCIAL,PRIVATE,ASHWINI HOTEL,51,KALINGARAYAN STREET,1000511600086
1000510100194,COMMERCIAL,PRIVATE,KAVITHA THEATER,51,NEHRU STREET,1000511600085
1000510100197,COMMERCIAL,PRIVATE,AMBIKA COMPLEX,51,NEHRU STREET,1000511600084
1000510100167,COMMERCIAL,PRIVATE,E S S PARADISE,51,NEHRU STREET,1000511600083
1000510100547,COMMERCIAL,PRIVATE,HOTEL BLUE STAR,51,NEHRU STREET,1000511600082
